speaker,text,date,year,debate_id
John F. Kennedy,"Good evening, Mr. Shadel.",1960-10-13,1960,1960_October_13_1960
Shadel,"And good evening to you, Vice President Nixon.",1960-10-13,1960,1960_October_13_1960
Richard Nixon,"Good evening, Mr. Shadel.",1960-10-13,1960,1960_October_13_1960
Shadel,"And now to meet the panel of correspondents. Frank McGee, NBC News; Charles Van Fremd, CBS News; Douglass Cater, Reporter magazine; Roscoe Drummond, New York Herald Tribune. Now, as you’ve probably noted, the four reporters include a newspaper man and a magazine reporter; these two selected by lot by the press secretaries of the candidates from among the reporters traveling with the candidates. The broadcasting representatives were chosen by their companies. The rules for this evening have been agreed upon by the representatives of both candidates and the radio and television networks and I should like to read them. There will be no opening statements by the candidates nor any closing summation. The entire hour will be devoted to answering questions from the reporters. Each candidate to be questioned in turn with opportunity for comment by the other. Each answer will be limited to two and one-half minutes, each comment to one and a half minutes. The reporters are free to ask any question they choose on any subject. Neither candidate knows what questions will be asked. Time alone will dete- determine who will be asked the final question. Now the first question is from Mr. McGee and is for Senator Kennedy.",1960-10-13,1960,1960_October_13_1960
John F. Kennedy,"Mr. McGee, we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II. That has been reinforced by direct commitments of the president of the United States; it’s been reinforced by a number of other nations under NATO. I’ve stated on many occasions that the United States must meet its commitment on Berlin. It is a commitment that we have to meet if we’re going to protect the security of Western Europe. And therefore on this question I don’t think that there is any doubt in the mind of any American; I hope there is not any doubt in the mind of any member of the community of West Berlin; I’m sure there isn’t any doubt in the mind of the Russians. We will meet our commitments to maintain the freedom and independence of West Berlin.",1960-10-13,1960,1960_October_13_1960
Shadel,"Mr. Vice President, do you wish to comment?",1960-10-13,1960,1960_October_13_1960
Richard Nixon,"Yes. As a matter of fact, the statement that Senator Kennedy made was that – to the effect that there were trigger-happy Republicans, that my stand on Quemoy and Matsu was an indication of trigger-happy Republicans. I resent that comment. I resent it because th- it’s an implication that Republicans have been trigger-happy and, therefore, would lead this nation into war. I would remind Senator Kennedy of the past fifty years. I would ask him to name one Republican president who led this nation into war. There were three Democratic presidents who led us into war. I do not mean by that that one party is a war party and the other party is a peace party. But I do say that any statement to the effect that the Republican party is trigger-happy is belied by the record. We had a war when we came into power in 1953. We got rid of that; we’ve kept out of other wars; and certainly that doesn’t indicate that we’re trigger-happy. We’ve been strong, but we haven’t been trigger-happy. As far as Berlin is concerned, there isn’t any question about the necessity of defending Berlin; the rights of people there to be free; and there isn’t any question about what the united American people – Republicans and Democrats alike – would do in the event there were an attempt by the Communists to take over Berlin.",1960-10-13,1960,1960_October_13_1960
Shadel,The next question is by Mr. Von Fremd for Vice President Nixon.,1960-10-13,1960,1960_October_13_1960
Von Fremd,"Mr. Vice President, a two-part question concerning the offshore islands in the Formosa Straits. If you were president and the Chinese Communists tomorrow began an invasion of Quemoy and Matsu, would you launch the uh – United States into a war by sending the Seventh Fleet and other military forces to resist this aggression; and secondly, if the uh – regular conventional forces failed to halt such uh – such an invasion, would you authorize the use of nuclear weapons?",1960-10-13,1960,1960_October_13_1960
Richard Nixon,"Mr. Von Fremd, it would be completely irresponsible for a candidate for the presidency, or for a president himself, to indicate the course of action and the weapons he would use in the event of such an attack. I will say this: in the event that such an attack occurred and in the event the attack was a prelude to an attack on Formosa – which would be the indication today because the Chinese Communists say over and over again that their objective is not the offshore islands, that they consider them only steppingstones to taking Formosa – in the event that their attack then were a prelude to an attack on Formosa, there isn’t any question but that the United States would then again, as in the case of Berlin, honor our treaty obligations and stand by our ally of Formosa. But to indicate in advance how we would respond, to indicate the nature of this response would be incorrect; it would certainly be inappropriate; it would not be in the best interests of the United States. I will only say this, however, in addition: to do what Senator Kennedy has suggested – to suggest that we will surrender these islands or force our Chinese Nationalist allies to surrender them in advance – is not something that would lead to peace; it is something that would lead, in my opinion, to war. This is the history of dealing with dictators. This is something that Senator Kennedy and all Americans must know. We tried this with Hitler. It didn’t work. He wanted first uh – we know, Austria, and then he went on to the Sudetenland and then Danzig, and each time it was thought this is all that he wanted. Now what do the Chinese Communists want? They don’t want just Quemoy and Matsu; they don’t want just Formosa; they want the world. And the question is if you surrender or indicate in advance that you’re not going to defend any part of the free world, and you figure that’s going to satisfy them, it doesn’t satisfy them. It only whets their appetite; and then the question comes, when do you stop them? I’ve often heard President Eisenhower in discussing this question, make the statement that if we once start the process of indicating that this point or that point is not the place to stop those who threaten the peace and freedom of the world, where do we stop them? And I say that those of us who stand against surrender of territory – this or any others – in the face of blackmail, in the s- face of force by the Communists are standing for the course that will lead to peace.",1960-10-13,1960,1960_October_13_1960
