speaker,text,date,year,debate_id
Kaine,"Elaine, thank you for being here tonight, and, Governor Pence, welcome. It is so great to be back at Longwood University in Farmville, Virginia.",2016-10-04,2016,2016_October_4_2016
Quijano,Governor Pence?,2016-10-04,2016,2016_October_4_2016
Pence,"Well, first off, thank you, Elaine, and thank you to — thank you to Norwood University for their wonderful hospitality and the Commission on Presidential Debates. It’s deeply humbling for me to be here, to be surrounded by my — my wonderful family.",2016-10-04,2016,2016_October_4_2016
Quijano,"Senator Kaine, on the campaign trail, you praised Secretary Clinton’s character, including her commitment to public service, yet 60 percent of voters don’t think she’s trustworthy. Why do so many people distrust her? Is it because they have questions about her e-mails and the Clinton Foundation?",2016-10-04,2016,2016_October_4_2016
Kaine,"Elaine, let me tell you why I trust Hillary Clinton. Here’s what people should look at as they look at a public servant. Do they have a passion in their life that showed up before they were in public life? And have they held onto that passion throughout their life, regardless of whether they were in office or not, succeeding or failing?",2016-10-04,2016,2016_October_4_2016
Quijano,"Governor Pence, let me ask you, you have said Donald Trump is, quote, “thoughtful, compassionate, and steady.” Yet 67 percent of voters feel he is a risky choice, and 65 percent feel he does not have the right kind of temperament to be president. Why do so many Americans think Mr. Trump is simply too erratic?",2016-10-04,2016,2016_October_4_2016
Pence,"Well, let me — let me say first and foremost that, Senator, you and Hillary Clinton would know a lot about an insult-driven campaign. It really is remarkable. At a time when literally, in the wake of Hillary Clinton’s tenure as secretary of state, where she was the architect of the Obama administration’s foreign policy, we see entire portions of the world, particularly the wider Middle East, literally spinning out of control. I mean, the situation we’re watching hour by hour in Syria today is the result of the failed foreign policy and the weak foreign policy that Hillary Clinton helped lead in this administration and create. The newly emboldened — the aggression of Russia, whether it was in Ukraine or now their heavy-handed approach…",2016-10-04,2016,2016_October_4_2016
Kaine,You guys love Russia. You both have said…,2016-10-04,2016,2016_October_4_2016
Pence,… their heavy-handed approach.,2016-10-04,2016,2016_October_4_2016
Kaine,You both have said — you both have said Vladimir Putin is a better leader than the president.,2016-10-04,2016,2016_October_4_2016
Pence,Well…[crosstalk],2016-10-04,2016,2016_October_4_2016
Quijano,"Well, we’re going to get to Russia in just a moment. But I do want to get back to the question at…",2016-10-04,2016,2016_October_4_2016
Pence,"But in the midst — Elaine, thank you. Thank you. Thank you, Senator, I’ll…",2016-10-04,2016,2016_October_4_2016
Kaine,These guys have praised Vladimir Putin as a great leader. How can that…[crosstalk],2016-10-04,2016,2016_October_4_2016
Quijano,"Yes, and we will get to that, Senator. We do have that coming up here. But in the meantime, the questions…",2016-10-04,2016,2016_October_4_2016
Pence,"Well, Senator, I must have hit a…[crosstalk]…I must have hit a nerve here.",2016-10-04,2016,2016_October_4_2016
Quijano,Why the disconnect?,2016-10-04,2016,2016_October_4_2016
Pence,"Because at a time of great challenge in the life of this nation, where we’ve weakened America’s place in the world, stifled America’s economy, the campaign of Hillary Clinton and Tim Kaine has been an avalanche of insults.",2016-10-04,2016,2016_October_4_2016
Kaine,And paid few taxes and lost a billion a year.,2016-10-04,2016,2016_October_4_2016
Quijano,And why the disconnect with your running mate?,2016-10-04,2016,2016_October_4_2016
Pence,"But there’s a — there’s a reason why people question the trustworthiness of Hillary Clinton. And that’s because they’re paying attention. I mean, the reality is, when she was secretary of state, Senator, come on. She had a Clinton Foundation accepting contributions from foreign governments.",2016-10-04,2016,2016_October_4_2016
