speaker,text,date,year,debate_id
Joe Biden,"How you doing, man?",2020-09-29,2020,2020_September_29_2020
Donald Trump,How are you doing?,2020-09-29,2020,2020_September_29_2020
Moderator,"Gentlemen, a lot of people have been waiting for this night, so let’s get going. Our first subject is the Supreme Court. President Trump, you nominated Amy Coney Barrett over the weekend to succeed the late Ruth Bader Ginsburg on the Court. You say the Constitution is clear about your obligation and the Senate’s to consider a nominee to the Court. Vice President Biden, you say that this is an effort by the President and Republicans to jam through on an appointment in what you call an abuse of power. My first question to both of you tonight, why are you right in the argument you make and your opponent wrong? And where do you think a Justice Barrett would take the court? President Trump, in this first segment, you go first. Two minutes.",2020-09-29,2020,2020_September_29_2020
Donald Trump,"Thank you very much, Chris. I will tell you very simply. We won the election. Elections have consequences. We have the Senate, we have the White House, and we have a phenomenal nominee respected by all. Top, top academic, good in every way. Good in every way. In fact, some of her biggest endorsers are very liberal people from Notre Dame and other places. So I think she’s going to be fantastic. We have plenty of time. Even if we did it after the election itself. I have a lot of time after the election, as you know. So I think that she will be outstanding. She’s going to be as good as anybody that has served on that court. We really feel that. We have a professor at Notre Dame, highly respected by all, said she’s the single greatest student he’s ever had. He’s been a professor for a long time at a great school.",2020-09-29,2020,2020_September_29_2020
Moderator,"President Trump, thank you. Same question to you, Vice President Biden. You have two minutes.",2020-09-29,2020,2020_September_29_2020
Joe Biden,"Well, first of all, thank you for doing this and looking forward to this, Mr. President.",2020-09-29,2020,2020_September_29_2020
Donald Trump,"Thank you, Joe.",2020-09-29,2020,2020_September_29_2020
Joe Biden,The American people have a right to have a say in who the Supreme Court nominee is and that say occurs when they vote for United States Senators and when they vote for the President of United States. They’re not going to get that chance now because we’re in the middle of an election already. The election has already started. Tens of thousands of people already voted and so the thing that should happen is we should wait. We should wait and see what the outcome of this election is because that’s the only way the American people get to express their view is by who they elect as President and who they elect as Vice President.,2020-09-29,2020,2020_September_29_2020
Donald Trump,"There aren’t a hundred million people with pre-existing conditions. As far as a say is concerned, the people already had their say. Okay, Justice Ginsburg said very powerfully, very strongly, at some point 10 years ago or so, she said a President and the Senate is elected for a period of time, but a President is elected for four years. We’re not elected for three years. I’m not elected for three years. So we have the Senate, we have a President-",2020-09-29,2020,2020_September_29_2020
Joe Biden,He’s elected to the next election.,2020-09-29,2020,2020_September_29_2020
